Настройка сетевого оборудования,47,"настройка 10, сетевого 10, оборудования 10, сеть 7, устройства 8, конфигурация 8, роутер 8, коммутатор 8, маршрутизатор 8, настройки 7"
Прокладка сети,48,"прокладка 10, сети 10, кабель 8, установка 8, провод 8, сетевой 7, инфраструктура 7, коммуникация 7, монтаж 8, подключение 7"
Изготовление патч-кордов,49,"изготовление 10, патч 10, кордов 10, корд 10, сетевых 8, кабелей 8, соединение 8, коннекторы 8, монтаж 7, провод 7, сборка 7, настройка 6"
Закупка сетевого оборудования и расходных материалов (П),50,"закупка 10, сетевого 10, оборудования 10, расходных 9, материалов 9, закупка 10, закупки 10, сетевых 8, компонентов 8, приобретение 8"
Выдача расходных материалов и сетевого оборудования,51,"выдача 7, расходных 10, материалов 10, сетевого 10, оборудования 10, сетевых 8, компонентов 8, выдать 7"
Запросить доступ к VPN-подключению к сети КФУ,52,"доступ 9, vpn 9, подключению 9, сети 8, подключение 8"
Модуль Сотрудник (Парус) в ЭУ,,
Ошибка при работе в модуле Сотрудник (Парус) в ЭУ,53,"ошибка 10, модуле 9, модуль 9, сотрудник 10, парус 10, эу 10, электронный 7, университет 7, система 8"
Открытие и настройка доступа к модулю Сотрудник (Парус) в ЭУ (П),54,"открытие 9, настройка 9, доступа 9, модулю 9, сотрудник 9, парус 10, эу 10, электронный 7, университет 7, система 8"
Разработка нового подраздела или отчета в модуле Сотрудник (Парус) в ЭУ (П),55,"разработка 9, нового 9, подраздела 9, отчета 9, модуле 9, сотрудник 9, парус 9, эу 8, электронный 7, университет 7, разработка 9"
Модификация модуля Сотрудник (Парус) в ЭУ,56,"модификация 9, модуля 9, сотрудник 9, парус 9, эу 8, электронный 7, университет 7"
Изменение данных в модуле Сотрудник (Парус) в ЭУ,57,"изменение 9, данных 9, модуле 9, сотрудник 9, парус 9, эу 8, электронный 7, университет 7, обновление 8, коррекция 8"
Выгрузка-загрузка данных в модуль Сотрудник (Парус) в ЭУ (П),58,"выгрузка 9, загрузка 9, данных 9, модуль 9, сотрудник 9, парус 9, эу 8, электронный 7, университет 7"
